train\1\Im_B0\1.jpg ['0.2091203220', '12.6991097200', '0.0220812510', '4.4780905300', '0.0014995780', '-2.4168324420', '48.6404901700', '-3.3573481390'] 0.01121538108888889
train\1\Im_B0\39.jpg ['0.0589560290', '12.4349416200', '0.0113611510', '4.7366510780', '0.0105510890', '-2.2582191770', '24.8030289000', '-2.9864244390'] 0.013351644155555554
train\1\Im_B0\40.jpg ['0.0873093990', '12.4280343000', '0.0123480600', '4.7382108780', '0.0106125990', '-2.2501228380', '24.1825282400', '-2.9764018960'] 0.015030136566666666
train\1\Im_B0\41.jpg ['0.1191854570', '12.4211292200', '0.0135161840', '4.7388825350', '0.0106299030', '-2.2419872080', '23.5624605200', '-2.9654842480'] 0.022354467077777777
train\1\Im_B0\42.jpg ['0.1466947430', '12.4142263700', '0.0151474160', '4.7373996050', '0.0109362910', '-2.2350746710', '22.9428243000', '-2.9536924730'] 0.026169222555555555
train\1\Im_B0\43.jpg ['0.1736571450', '12.4073258200', '0.0169652410', '4.7353752720', '0.0113698080', '-2.2287012310', '22.3236471700', '-2.9407850930'] 0.027847714966666666
train\1\Im_B0\44.jpg ['0.2115696200', '12.4004276300', '0.0188732850', '4.7333957790', '0.0119327020', '-2.2228895320', '21.7049475300', '-2.9266207810'] 0.050583657588888886
train\1\Im_B0\45.jpg ['0.2566872570', '12.3935317200', '0.0207409100', '4.7322193240', '0.0126280740', '-2.2176244910', '21.0867544800', '-2.9109712890'] 0.08735790035555556
train\1\Im_B0\46.jpg ['0.3136751960', '12.3866384600', '0.0224047720', '4.7326579070', '0.0134508020', '-2.2128800470', '20.4692192200', '-2.8925896480'] 0.09483482108888888
train\1\Im_B0\47.jpg ['0.4325993770', '12.3797490800', '0.0212311270', '4.7533486570', '0.0143460910', '-2.2087156130', '19.8525514300', '-2.8698377390'] 0.09483482108888888
train\1\Im_B0\48.jpg ['0.6384089420', '12.3728635900', '0.0188186840', '4.7784851860', '0.0152283460', '-2.2051850810', '19.2367885100', '-2.8425788320'] 0.09483482108888888
train\1\Im_B0\49.jpg ['0.8627722470', '12.3659798000', '0.0172814650', '4.7966709480', '0.0160626790', '-2.2021534940', '18.6218138200', '-2.8118672840'] 0.09483482108888888
train\1\Im_B0\50.jpg ['1.0445399570', '12.3590964100', '0.0160593460', '4.8113466440', '0.0168330020', '-2.1993202890', '18.0074619100', '-2.7790402120'] 0.09483482108888888
train\1\Im_B0\51.jpg ['1.1628619570', '12.3522139100', '0.0150493520', '4.8234423830', '0.0175397640', '-2.1963797100', '17.3935859600', '-2.7452023270'] 0.09483482108888888
train\1\Im_B0\52.jpg ['1.2230820970', '12.3453331800', '0.0143578410', '4.8327458660', '0.0181555370', '-2.1930005070', '16.7800854400', '-2.7110510900'] 0.09483482108888888
train\1\Im_B0\53.jpg ['1.2421544500', '12.3384548000', '0.0140814530', '4.8390367310', '0.0186289600', '-2.1888881240', '16.1669079800', '-2.6768986610'] 0.09483482108888888
train\1\Im_B0\54.jpg ['1.2387502730', '12.3315789000', '0.0143029950', '4.8421146140', '0.0159212720', '-2.1681292010', '15.5540376000', '-2.6427830300'] 0.09483482108888888
train\1\Im_B0\55.jpg ['1.2275903190', '12.3247054100', '0.0150880270', '4.8418493550', '0.0148019760', '-2.1556905420', '14.9414791000', '-2.6085923010'] 0.09483482108888888
train\1\Im_B0\56.jpg ['1.2174501000', '12.3178341900', '0.0164871950', '4.8382240820', '0.0138617770', '-2.1445171150', '14.3292448900', '-2.5741596550'] 0.09483482108888888
train\1\Im_B0\57.jpg ['1.2117397000', '12.3109651200', '0.0184798210', '4.8315680390', '0.0131268590', '-2.1346636300', '13.7173467500', '-2.5393157380'] 0.09483482108888888
train\1\Im_B0\58.jpg ['1.2103332380', '12.3040981500', '0.0210120970', '4.8224989450', '0.0126044400', '-2.1261253420', '13.1057925300', '-2.5039044720'] 0.09483482108888888
train\1\Im_B0\59.jpg ['1.2115347880', '12.2972332900', '0.0239217260', '4.8121777020', '0.0123299150', '-2.1189547390', '12.4945861600', '-2.4677762270'] 0.09483482108888888
train\1\Im_B0\60.jpg ['1.2135243010', '12.2903705800', '0.0269262740', '4.8023177980', '0.0123333580', '-2.1131696760', '11.8837292900', '-2.4307718180'] 0.09483482108888888
train\1\Im_B0\61.jpg ['1.2150895110', '12.2835100700', '0.0296268670', '4.7950563560', '0.0126441940', '-2.1087588540', '11.2732230400', '-2.3927061390'] 0.09483482108888888
train\1\Im_B0\62.jpg ['1.2157658460', '12.2766517900', '0.0315686120', '4.7925451430', '0.0132864850', '-2.1056638760', '10.6630692700', '-2.3533548840'] 0.09483482108888888
train\1\Im_B0\63.jpg ['1.2156374360', '12.2697957400', '0.0108513770', '4.9230422770', '0.0142731510', '-2.1037588500', '10.0532710900', '-2.3124439650'] 0.09483482108888888
train\1\Im_B0\64.jpg ['1.2150394530', '12.2629419200', '0.0071625810', '4.9549872400', '0.0155967500', '-2.1028219990', '9.4438329510', '-2.2696392420'] 0.09483482108888888
train\1\Im_B0\65.jpg ['1.2143161610', '12.2560903300', '0.0037096760', '4.9843152330', '0.0172175340', '-2.1025075230', '8.8347604480', '-2.2245336870'] 0.09483482108888888
train\1\Im_B0\66.jpg ['1.2136932400', '12.2492409500', '0.0005950420', '5.0105395480', '0.0190490920', '-2.1023196870', '8.2260601730', '-2.1766293140'] 0.09483482108888888
train\1\Im_B0\67.jpg ['1.2132540500', '12.2423937800', '-0.0020807040', '5.0331720680', '0.0209456840', '-2.1016145190', '7.6177396890', '-2.1253112770'] 0.09483482108888888
train\1\Im_B0\68.jpg ['1.2129779110', '12.2355488000', '-0.0041967310', '5.0516548670', '0.0227069550', '-2.0996747530', '7.0098076980', '-2.0698110630'] 0.09483482108888888
train\1\Im_B0\69.jpg ['1.2127969070', '12.2287060300', '-0.0056115500', '5.0653709930', '0.0241063070', '-2.0958557350', '6.4022743700', '-2.0091542900'] 0.09483482108888888
train\1\Im_B0\70.jpg ['1.2126422380', '12.2218654500', '-0.0061588360', '5.0736427740', '0.0131760720', '-2.0399641680', '5.7951518210', '-1.9420858530'] 0.09483482108888888
train\1\Im_B0\71.jpg ['1.2124687390', '12.2150270700', '-0.0056506110', '5.0757748930', '0.0113222230', '-2.0209450300', '5.1884547550', '-1.8669603270'] 0.09910734722222223
train\1\Im_B0\72.jpg ['1.2122593990', '12.2081908900', '-0.0038959110', '5.0711758430', '0.0096725810', '-2.0033852480', '4.5822052050', '-1.7815605960'] 0.10933089188888889
train\1\Im_B0\73.jpg ['1.2147218240', '12.2013572100', '-0.0007432140', '5.0595810820', '0.0082565300', '-1.9873490190', '3.9994779670', '-1.6925409190'] 0.1204699778888889
train\1\Im_B0\74.jpg ['1.2327768060', '12.1945266700', '0.0038190070', '5.0414915650', '0.0070997520', '-1.9729421220', '3.6395444840', '-1.6909618270'] 0.132372015
train\1\Im_B0\75.jpg ['1.2826302980', '12.1876995500', '0.0095315470', '5.0187200830', '0.0062183410', '-1.9603023220', '3.2771844610', '-1.6890184330'] 0.13862821388888888
train\1\Im_B0\76.jpg ['1.3685486180', '12.1808757200', '0.0157583670', '4.9947980100', '0.0056312120', '-1.9495779490', '2.9126490580', '-1.6866464640'] 0.14229037922222224
train\1\Im_B0\77.jpg ['1.4821111990', '12.1740543400', '0.0214896140', '4.9747190950', '0.0053737950', '-1.9409141540', '2.5462182770', '-1.6839430690'] 0.15693904022222221
train\1\Im_B0\78.jpg ['1.6000388250', '12.1672344400', '0.0168235040', '5.0138695060', '0.0055095450', '-1.9344135920', '2.1781542310', '-1.6810726270'] 0.17189288166666666
train\1\Im_B0\79.jpg ['1.7101331800', '12.1604170000', '0.0153692020', '5.0330000840', '0.0061154410', '-1.9301409310', '1.8086737820', '-1.6780990040'] 0.17326619366666665
train\1\Im_B0\80.jpg ['1.8297894790', '12.1536033100', '0.0148089390', '5.0458430250', '0.0072472380', '-1.9281358850', '1.4379609530', '-1.6750736770'] 0.17967498288888886
train\1\Im_B0\81.jpg ['1.9608433650', '12.1467918000', '0.0152698660', '5.0520298800', '0.0089370450', '-1.9282987440', '1.0661313180', '-1.6721027640'] 0.17967498288888886
train\2\Im_B1\1.jpg ['-1.6836745120', '12.7093467900', '0.0543741470', '2.0744791930', '0.0364479190', '-4.8305175030', '49.5234673700', '-3.0145659980'] -0.118486305
train\2\Im_B1\2.jpg ['-1.6250243620', '12.7317183700', '0.0563034650', '2.1051380900', '0.0371133860', '-4.7935459480', '48.8823247500', '-3.0847509750'] -0.1169604028888889
train\2\Im_B1\3.jpg ['-1.5890942870', '12.7539373100', '0.0580231580', '2.1374267510', '0.0377849860', '-4.7560535450', '48.2400596400', '-3.1528331740'] -0.1169604028888889
train\2\Im_B1\4.jpg ['-1.5643385360', '12.7760048700', '0.0595138190', '2.1714551490', '0.0386816590', '-4.7203839610', '47.5966681900', '-3.2191103530'] -0.11680781266666666
train\2\Im_B1\5.jpg ['-1.5459362040', '12.7979227500', '0.0609348480', '2.2051980190', '0.0394284150', '-4.6820538200', '46.9521458000', '-3.2838624910'] -0.1142137788888889
train\2\Im_B1\6.jpg ['-1.5336069620', '12.8196925200', '0.0620187730', '2.2426972310', '0.0402457450', '-4.6435720690', '46.3064948400', '-3.3472329620'] -0.10872053101111112
train\2\Im_B1\7.jpg ['-1.5244001330', '12.8413154100', '0.0628672880', '2.2820309100', '0.0411456330', '-4.6050004050', '45.6597430600', '-3.4089789740'] -0.1030746929111111
train\2\Im_B1\8.jpg ['-1.5094372670', '12.8627924900', '0.0634871460', '2.3231358870', '0.0421295110', '-4.5663890600', '45.0119473300', '-3.4684741150'] -0.10048065918888888
train\2\Im_B1\9.jpg ['-1.4793798450', '12.8841251600', '0.0638815530', '2.3659101330', '0.0431882130', '-4.5277798760', '44.3631669100', '-3.5251321860'] -0.10032806896666667
train\2\Im_B1\10.jpg ['-1.4344597470', '12.9053152700', '0.0640572160', '2.4102378110', '0.0443108370', '-4.4891942340', '43.7134280800', '-3.5788735140'] -0.09864957656666667
train\2\Im_B1\11.jpg ['-1.3862729580', '12.9263450700', '0.0625091420', '2.4623420440', '0.0454951550', '-4.4506231130', '43.0627248400', '-3.6300751630'] -0.09514000152222223
train\2\Im_B1\12.jpg ['-1.3459948520', '12.9471358300', '0.0640760480', '2.5020257110', '0.0457324680', '-4.4039931590', '42.4110540200', '-3.6790816830'] -0.09239337758888888
train\2\Im_B1\13.jpg ['-1.3133376660', '12.9676277200', '0.0658277430', '2.5414742430', '0.0464181840', '-4.3603578430', '41.7584315900', '-3.7259934780'] -0.08964675364444445
train\2\Im_B1\14.jpg ['-1.2825674930', '12.9877884400', '0.0676641320', '2.5811208060', '0.0470496060', '-4.3157103030', '41.1048814300', '-3.7708229140'] -0.08400091554444444
train\2\Im_B1\15.jpg ['-1.2514846870', '13.0076024200', '0.0694785510', '2.6214239130', '0.0476461180', '-4.2702509300', '40.4504368700', '-3.8134785800'] -0.07362478065555556
train\2\Im_B1\16.jpg ['-1.2173072520', '13.0270637500', '0.0711720910', '2.6627953230', '0.0482257740', '-4.2241864280', '39.7951639400', '-3.8535059750'] -0.06736858167777779
train\2\Im_B1\17.jpg ['-1.1702326310', '13.0461721500', '0.0726585580', '2.7055304440', '0.0487985150', '-4.1777392010', '39.1391615800', '-3.8901278730'] -0.06569008926666667
train\2\Im_B1\18.jpg ['-1.1008774600', '13.0649312600', '0.0738708050', '2.7497819800', '0.0493659940', '-4.1311386960', '38.4824933300', '-3.9230206590'] -0.06172274356666666
train\2\Im_B1\19.jpg ['-1.0203938070', '13.0833468400', '0.0747791110', '2.7956039810', '0.0499390340', '-4.0845766780', '37.8251644500', '-3.9524969150'] -0.050888838022222216
train\2\Im_B1\20.jpg ['-0.9458880880', '13.1014251100', '0.0753914800', '2.8429730630', '0.0505420580', '-4.0382043870', '37.1671830500', '-3.9787982710'] -0.037308308533333334
train\2\Im_B1\21.jpg ['-0.8758895350', '13.1191722800', '0.0755766820', '2.8950213260', '0.0509019400', '-3.9878687320', '36.5086196300', '-4.0015051150'] -0.018997482266666667
train\2\Im_B1\22.jpg ['-0.7918592790', '13.1365950700', '0.0753309910', '2.9472765750', '0.0515410850', '-3.9415525610', '35.8496012800', '-4.0196692140'] 0.004196231022222222
train\2\Im_B1\23.jpg ['-0.6775752620', '13.1537005800', '0.0748192610', '3.0005307170', '0.0522220890', '-3.8959204850', '35.1903052000', '-4.0319219570'] 0.02876325627777778
train\2\Im_B1\24.jpg ['-0.5187245600', '13.1704961300', '0.0740341240', '3.0544888130', '0.0529141060', '-3.8511001430', '34.5309380800', '-4.0366968640'] 0.04432745861111111
train\2\Im_B1\25.jpg ['-0.3066638470', '13.1869891200', '0.0729607030', '3.1088213030', '0.0535753880', '-3.8072104730', '33.8716693000', '-4.0328690850'] 0.05607690546666667
train\2\Im_B1\26.jpg ['-0.0518079400', '13.2029941000', '0.0698309360', '3.1711773560', '0.0541701100', '-3.7643363980', '33.2125818400', '-4.0205406780'] 0.07362478065555556
train\2\Im_B1\27.jpg ['0.2099173380', '13.2168176200', '0.0701436950', '3.2163658950', '0.0696367480', '-3.7999997220', '32.5538013100', '-4.0006003600'] 0.09834439612222222
train\2\Im_B1\28.jpg ['0.4535496970', '13.2253200900', '0.0704778710', '3.2600752670', '0.0698401740', '-3.7555346520', '31.8954188900', '-3.9736176540'] 0.12855725944444443
train\2\Im_B1\29.jpg ['0.6878307200', '13.2369537400', '0.0707438890', '3.3027245400', '0.0699685010', '-3.7119457590', '31.2371639500', '-3.9393129570'] 0.1561760891111111
train\2\Im_B1\30.jpg ['0.9396467820', '13.2524162400', '0.0708127340', '3.3447765600', '0.0699141850', '-3.6688919270', '30.5791945100', '-3.8968443700'] 0.17463950555555555
train\2\Im_B1\31.jpg ['1.2294447210', '13.2629874900', '0.0705394720', '3.3865919780', '0.0695601930', '-3.6261583610', '29.9219119500', '-3.8457314120'] 0.19218738077777778
train\2\Im_B1\32.jpg ['1.5480430360', '13.2669077900', '0.0698113070', '3.4283806240', '0.0688174260', '-3.5836533840', '29.2655467700', '-3.7864507920'] 0.2027161058888889
train\2\Im_B1\33.jpg ['1.8639744380', '13.2665797200', '0.0684717630', '3.4706225140', '0.0676514540', '-3.5413885430', '28.6101333600', '-3.7201124480'] 0.2027161058888889
train\2\Im_B1\34.jpg ['2.1539103700', '13.2636647700', '0.0658285540', '3.5224747950', '0.0661221750', '-3.4997093160', '27.9555535800', '-3.6484869720'] 0.20363164722222224
train\2\Im_B1\35.jpg ['2.3912091420', '13.2591689900', '0.0643804220', '3.5631615600', '0.0646702810', '-3.4601792970', '27.3015868100', '-3.5738515590'] 0.2112611581111111
train\2\Im_B1\36.jpg ['2.5526386680', '13.2537025000', '0.0629656920', '3.6013086460', '0.0630836290', '-3.4216698220', '26.6480394500', '-3.4980443300'] 0.2201113908888889
train\2\Im_B1\37.jpg ['2.6491364070', '13.2476361600', '0.0615303890', '3.6375217990', '0.0616324970', '-3.3793562010', '25.9948276600', '-3.4218623910'] 0.2204165713333333
train\2\Im_B1\38.jpg ['2.7167010960', '13.2411933200', '0.0600148900', '3.6722308960', '0.0597697310', '-3.3410064160', '25.3419344100', '-3.3455039210'] 0.21736476688888887
train\2\Im_B1\39.jpg ['2.7777873780', '13.2345052300', '0.0583705970', '3.7057137540', '0.0577648950', '-3.3038288390', '24.6893208100', '-3.2693667140'] 0.20012207222222222
train\2\Im_B1\40.jpg ['2.8246199250', '13.2276477900', '0.0565832790', '3.7381676340', '0.0556162460', '-3.2677529790', '24.0368973000', '-3.1942996050'] 0.18181124588888892
train\2\Im_B1\41.jpg ['2.8377420570', '13.2206684100', '0.0551349920', '3.7674801590', '0.0533870730', '-3.2328887330', '23.3844955100', '-3.1218462240'] 0.17082475011111112
train\2\Im_B1\42.jpg ['2.7846449080', '13.2136109800', '0.0541808820', '3.7935038690', '0.0516463960', '-3.2013004990', '22.7319575500', '-3.0534485530'] 0.16685740444444444
train\2\Im_B1\43.jpg ['2.6639991720', '13.2065085800', '0.0536181470', '3.8173286810', '0.0502152140', '-3.1717352930', '22.0792283500', '-2.9896407780'] 0.16624704355555556
train\2\Im_B1\44.jpg ['2.5107057190', '13.1993821700', '0.0534259750', '3.8394674440', '0.0491310460', '-3.1440544330', '21.4263651600', '-2.9299770130'] 0.16258487833333332
train\2\Im_B1\45.jpg ['2.3674892840', '13.1922435500', '0.0535019570', '3.8605856350', '0.0483850150', '-3.1181044060', '20.7734810800', '-2.8735338710'] 0.14595254444444444
train\2\Im_B1\46.jpg ['2.2586002500', '13.1850984000', '0.0536766560', '3.8815071200', '0.0479347030', '-3.0936780910', '20.1206544600', '-2.8196917460'] 0.11665522244444444
train\2\Im_B1\47.jpg ['2.1728934040', '13.1779483100', '0.0537566200', '3.9031677990', '0.0477304010', '-3.0704540450', '19.4678462700', '-2.7688135910'] 0.09361409933333334
train\2\Im_B1\48.jpg ['2.0630228680', '13.1707936200', '0.0498599250', '3.9505736760', '0.0477413630', '-3.0479395920', '18.8149205600', '-2.7220187350'] 0.07621881437777778
train\2\Im_B1\49.jpg ['1.8864445510', '13.1636373200', '0.0475270830', '3.9887001200', '0.0479582080', '-3.0255423250', '18.1617689700', '-2.6801072370'] 0.0635538262
train\2\Im_B1\50.jpg ['1.6520690660', '13.1564829800', '0.0456582470', '4.0245361240', '0.0483160500', '-3.0025899840', '17.5083672200', '-2.6431247520'] 0.05012588693333333
train\2\Im_B1\51.jpg ['1.3945201180', '13.1493321500', '0.0443358720', '4.0579227770', '0.0487394440', '-2.9785846440', '16.8547646100', '-2.6105008520'] 0.03868162051111111
train\2\Im_B1\52.jpg ['1.1463836720', '13.1421846800', '0.0436244500', '4.0886359860', '0.0457541620', '-2.9340347360', '16.2010394700', '-2.5814465420'] 0.02983138781111111
train\2\Im_B1\53.jpg ['0.9219817950', '13.1350401600', '0.0435872900', '4.1164274730', '0.0448127570', '-2.8997879770', '15.5472809500', '-2.5551098540'] 0.024338139922222224
train\2\Im_B1\54.jpg ['0.7279987180', '13.1278983800', '0.0442906470', '4.1410448260', '0.0442380150', '-2.8667381840', '14.8935831000', '-2.5306268810'] 0.021286335544444444
train\2\Im_B1\55.jpg ['0.5682639220', '13.1207592600', '0.0458117570', '4.1622365790', '0.0440252790', '-2.8348477310', '14.2400426500', '-2.5071435590'] 0.02082856488888889
train\2\Im_B1\56.jpg ['0.4452261880', '13.1136227500', '0.0481608470', '4.1800500500', '0.0441823790', '-2.8041320220', '13.5867539200', '-2.4838555240'] 0.02082856488888889
train\2\Im_B1\57.jpg ['0.3586138990', '13.1064888100', '0.0513333990', '4.1947727690', '0.0446845310', '-2.7745163320', '12.9338045100', '-2.4600361490'] 0.02082856488888889
train\2\Im_B1\58.jpg ['0.3057885930', '13.0993573800', '0.0551951360', '4.2073638250', '0.0455488330', '-2.7460303180', '12.2812658600', '-2.4350910580'] 0.022354467077777777
train\2\Im_B1\59.jpg ['0.2792074500', '13.0922284000', '0.0594381830', '4.2196520710', '0.0467841950', '-2.7186380070', '11.6291923000', '-2.4085446510'] 0.02311741817777778
train\2\Im_B1\60.jpg ['0.2704310130', '13.0851018800', '0.0635501780', '4.2343341110', '0.0483972080', '-2.6922374280', '10.9776285500', '-2.3799720610'] 0.02311741817777778
train\2\Im_B1\61.jpg ['0.2742168810', '13.0779778000', '0.0668724370', '4.2544856240', '0.0503822070', '-2.6666385400', '10.3266081600', '-2.3489943400'] 0.024185549711111108
train\2\Im_B1\62.jpg ['0.2838142270', '13.0708561200', '0.0480088580', '4.4018203410', '0.0527142460', '-2.6415296360', '9.6761576800', '-2.3152333080'] 0.03517204546666666
train\2\Im_B1\63.jpg ['0.2938996600', '13.0637368700', '0.0447732620', '4.4621914370', '0.0553356520', '-2.6164529900', '9.0263202700', '-2.2781591630'] 0.06004425116666667
train\2\Im_B1\64.jpg ['0.3107946950', '13.0566202200', '0.0418042370', '4.5200219120', '0.0581361560', '-2.5908280080', '8.3772025170', '-2.2368367900'] 0.08262760356666667
train\2\Im_B1\65.jpg ['0.3661197760', '13.0495066800', '0.0392350970', '4.5743745380', '0.0609097620', '-2.5639673730', '7.7289782430', '-2.1899440100'] 0.11039902342222223
train\2\Im_B1\66.jpg ['0.4956651270', '13.0423968500', '0.0371807630', '4.6241581440', '0.0633660940', '-2.5352102960', '7.0818217440', '-2.1361200580'] 0.15220874344444446
train\2\Im_B1\67.jpg ['0.7012367640', '13.0352912700', '0.0357861680', '4.6681824080', '0.0651957190', '-2.5040330830', '6.4359023040', '-2.0739054330'] 0.18364232855555554
train\2\Im_B1\68.jpg ['0.9847601150', '13.0281911900', '0.0352298830', '4.7051355360', '0.0532559900', '-2.4136145480', '5.7913878550', '-2.0016247910'] 0.20027466244444445
